iter	Passed	Remaining
0	2	198
1	3	152
2	4	160
3	6	145
4	7	140
5	8	133
6	9	132
7	11	128
8	12	126
9	13	122
10	15	122
11	17	126
12	18	124
13	20	124
14	21	121
15	22	119
16	24	118
17	25	116
18	26	115
19	28	112
20	29	111
21	30	108
22	32	109
23	34	108
24	35	107
25	37	106
26	38	104
27	40	102
28	41	101
29	42	99
30	44	98
31	45	96
32	47	95
33	48	94
34	50	93
35	51	91
36	52	89
37	53	87
38	55	86
39	57	85
40	58	84
41	58	81
42	60	80
43	61	78
44	63	77
45	64	75
46	65	74
47	67	72
48	68	71
49	69	69
50	71	68
51	72	66
52	73	65
53	74	63
54	75	61
55	76	60
56	78	59
57	79	57
58	81	56
59	82	54
60	84	53
61	85	52
62	87	51
63	88	49
64	90	48
65	91	47
66	93	46
67	94	44
68	96	43
69	97	41
70	98	40
71	100	39
72	101	37
73	102	36
74	104	34
75	105	33
76	106	31
77	108	30
78	109	29
79	111	27
80	112	26
81	113	24
82	114	23
83	116	22
84	117	20
85	118	19
86	119	17
87	120	16
88	122	15
89	123	13
90	125	12
91	126	10
92	127	9
93	128	8
94	130	6
95	131	5
96	133	4
97	134	2
98	135	1
99	136	0
