iter	Passed	Remaining
0	149	149003
1	150	75341
2	152	50795
3	155	38698
4	157	31381
5	159	26459
6	162	23021
7	164	20386
8	166	18352
9	169	16780
10	171	15456
11	174	14332
12	176	13368
13	178	12575
14	180	11858
15	183	11289
16	185	10746
17	187	10228
18	189	9764
19	190	9347
20	192	8980
21	194	8651
22	197	8385
23	199	8099
24	201	7839
25	202	7587
26	204	7357
27	205	7141
28	207	6934
29	208	6745
30	210	6592
31	212	6436
32	214	6297
33	216	6150
34	217	6007
35	219	5875
36	221	5752
37	222	5640
38	224	5542
39	227	5459
40	229	5375
41	231	5286
42	233	5199
43	235	5110
44	236	5023
45	238	4941
46	240	4873
47	242	4813
48	244	4745
49	245	4673
50	247	4612
51	249	4550
52	251	4500
53	254	4459
54	256	4406
55	258	4353
56	259	4298
57	261	4246
58	262	4194
59	264	4150
60	267	4111
61	268	4062
62	269	4013
63	271	3968
64	272	3921
65	273	3875
66	275	3831
67	276	3789
68	277	3746
69	278	3705
70	281	3678
71	282	3638
72	283	3600
73	284	3564
74	285	3527
75	287	3491
76	288	3456
77	289	3421
78	290	3389
79	292	3358
80	293	3327
81	294	3300
82	296	3271
83	297	3244
84	298	3216
85	300	3188
86	301	3163
87	302	3137
88	303	3111
89	305	3086
90	306	3060
91	307	3035
92	308	3011
93	310	2994
94	312	2974
95	313	2952
96	314	2930
97	316	2909
98	317	2887
99	318	2867
100	319	2847
101	321	2826
102	322	2806
103	323	2788
104	325	2774
105	327	2763
106	329	2747
107	330	2732
108	332	2715
109	333	2697
110	334	2679
111	335	2662
112	336	2644
113	338	2628
114	339	2613
115	341	2602
116	342	2587
117	343	2570
118	345	2555
119	346	2540
120	347	2524
121	348	2506
122	349	2490
123	350	2476
124	351	2461
125	353	2452
126	354	2436
127	356	2427
128	358	2417
129	359	2404
130	360	2391
131	361	2378
132	362	2364
133	363	2351
134	365	2339
135	366	2327
136	367	2316
137	369	2306
138	371	2301
139	373	2294
140	375	2286
141	376	2272
142	377	2262
143	378	2251
144	380	2241
145	381	2231
146	382	2220
147	383	2210
148	385	2201
149	387	2194
150	388	2184
151	389	2175
152	391	2165
153	392	2154
154	393	2144
155	394	2135
156	395	2125
157	397	2116
158	398	2107
159	399	2098
160	400	2086
161	402	2082
162	403	2073
163	405	2065
164	406	2056
165	407	2048
166	408	2039
167	411	2038
168	412	2029
169	413	2021
170	415	2012
171	416	2005
172	418	1999
173	419	1991
174	420	1983
175	421	1975
176	423	1967
177	424	1960
178	426	1955
179	427	1948
180	429	1941
181	430	1934
182	432	1929
183	434	1926
184	435	1919
185	437	1912
186	438	1906
187	440	1900
188	441	1894
189	442	1887
190	444	1880
191	445	1873
192	446	1867
193	449	1865
194	450	1858
195	451	1852
196	452	1845
197	454	1839
198	455	1833
199	456	1827
200	458	1821
201	459	1815
202	460	1809
203	462	1804
204	464	1801
205	466	1796
206	467	1790
207	468	1784
208	469	1778
209	471	1772
210	472	1766
211	473	1760
212	475	1755
213	476	1750
214	478	1747
215	480	1743
216	481	1737
217	482	1732
218	484	1726
219	485	1720
220	486	1713
221	487	1708
222	488	1703
223	489	1697
224	491	1692
225	493	1689
226	494	1684
227	496	1679
228	497	1675
229	498	1669
230	499	1664
231	501	1659
232	502	1653
233	503	1648
234	504	1643
235	506	1638
236	507	1634
237	509	1630
238	510	1626
239	512	1621
240	513	1616
241	514	1611
242	515	1606
243	516	1601
244	518	1596
245	519	1591
246	520	1586
247	521	1582
248	523	1579
249	525	1576
250	526	1572
251	528	1567
252	529	1562
253	530	1557
254	531	1553
255	532	1548
256	534	1544
257	535	1539
258	536	1534
259	537	1530
260	539	1528
261	541	1524
262	542	1520
263	543	1516
264	545	1511
265	546	1506
266	547	1502
267	548	1497
268	549	1493
269	550	1489
270	552	1485
271	554	1482
272	555	1480
273	557	1476
274	558	1472
275	559	1468
276	561	1464
277	562	1460
278	563	1456
279	564	1452
280	566	1448
281	567	1444
282	569	1441
283	570	1439
284	572	1435
285	573	1431
286	574	1427
287	575	1423
288	577	1419
289	578	1416
290	579	1412
291	580	1408
292	582	1404
293	583	1400
294	585	1398
295	586	1395
296	587	1391
297	589	1388
298	590	1384
299	591	1380
300	593	1377
301	594	1373
302	595	1370
303	596	1366
304	597	1362
305	599	1360
306	601	1357
307	602	1353
308	603	1350
309	605	1346
310	606	1343
311	607	1339
312	608	1336
313	610	1332
314	611	1329
315	612	1326
316	613	1322
317	615	1320
318	617	1317
319	618	1314
320	619	1311
321	621	1307
322	622	1304
323	623	1301
324	625	1298
325	626	1295
326	627	1292
327	629	1289
328	631	1287
329	632	1284
330	633	1281
331	635	1277
332	636	1274
333	637	1271
334	639	1268
335	640	1265
336	641	1262
337	643	1259
338	644	1256
339	645	1253
340	647	1250
341	648	1248
342	649	1244
343	651	1241
344	652	1238
345	653	1235
346	654	1232
347	656	1229
348	658	1227
349	659	1224
350	660	1222
351	662	1219
352	663	1216
353	664	1213
354	665	1209
355	667	1207
356	668	1203
357	669	1201
358	670	1198
359	672	1196
360	674	1193
361	675	1190
362	676	1187
363	678	1184
364	679	1181
365	680	1179
366	681	1176
367	683	1173
368	684	1170
369	685	1167
370	686	1164
371	689	1163
372	690	1160
373	691	1157
374	693	1155
375	694	1152
376	695	1149
377	696	1145
378	697	1142
379	698	1140
380	699	1137
381	701	1134
382	702	1132
383	704	1130
384	706	1127
385	707	1125
386	708	1122
387	709	1119
388	710	1116
389	712	1113
390	713	1110
391	714	1108
392	715	1105
393	716	1102
394	718	1100
395	720	1099
396	722	1097
397	724	1095
398	725	1093
399	727	1091
400	729	1089
401	730	1086
402	731	1083
403	732	1081
404	735	1079
405	737	1078
406	738	1076
407	740	1073
408	741	1071
409	742	1068
410	743	1066
411	745	1063
412	746	1060
413	747	1058
414	749	1056
415	751	1054
416	752	1052
417	754	1049
418	755	1047
419	756	1044
420	757	1041
421	758	1039
422	760	1036
423	761	1034
424	762	1031
425	764	1029
426	765	1027
427	766	1024
428	768	1022
429	769	1019
430	770	1017
431	771	1014
432	772	1012
433	774	1009
434	775	1007
435	776	1004
436	777	1002
437	780	1000
438	782	999
439	783	997
440	785	995
441	786	993
442	787	990
443	789	988
444	790	986
445	792	984
446	794	982
447	796	981
448	797	979
449	799	977
450	800	974
451	801	972
452	803	970
453	805	968
454	806	966
455	807	963
456	810	962
457	811	960
458	812	958
459	814	956
460	815	953
461	817	951
462	818	949
463	820	947
464	821	945
465	823	943
466	825	941
467	827	940
468	828	938
469	830	936
470	831	933
471	832	931
472	834	929
473	835	927
474	836	924
475	838	922
476	839	920
477	841	919
478	843	917
479	844	915
480	845	912
481	847	910
482	848	908
483	850	906
484	852	904
485	853	902
486	855	901
487	857	899
488	858	897
489	860	895
490	862	894
491	864	892
492	865	890
493	866	888
494	868	885
495	870	884
496	872	882
497	873	880
498	875	878
499	876	876
500	877	874
501	878	871
502	880	869
503	881	867
504	882	865
505	884	863
506	886	861
507	887	859
508	889	858
509	891	856
510	892	854
511	893	852
512	895	850
513	896	847
514	898	845
515	899	843
516	901	842
517	903	840
518	905	839
519	906	836
520	908	834
521	909	832
522	910	830
523	912	828
524	913	826
525	915	824
526	917	823
527	919	822
528	920	819
529	922	817
530	923	815
531	924	813
532	926	811
533	928	809
534	929	808
535	931	806
536	933	804
537	934	802
538	936	800
539	937	798
540	939	796
541	940	794
542	941	792
543	943	790
544	945	788
545	947	787
546	948	785
547	950	783
548	951	781
549	952	779
550	954	777
551	955	775
552	956	773
553	958	771
554	959	769
555	961	767
556	963	765
557	964	764
558	965	762
559	967	760
560	968	757
561	970	755
562	971	753
563	972	751
564	973	749
565	975	748
566	977	746
567	979	744
568	980	742
569	981	740
570	982	738
571	984	736
572	985	734
573	988	733
574	989	731
575	992	730
576	993	728
577	995	726
578	996	724
579	998	722
580	999	720
581	1000	718
582	1002	716
583	1003	714
584	1004	712
585	1006	711
586	1008	709
587	1010	707
588	1011	706
589	1013	704
590	1014	702
591	1016	700
592	1018	698
593	1019	696
594	1021	695
595	1023	693
596	1024	691
597	1026	690
598	1028	688
599	1030	686
600	1032	685
601	1034	683
602	1036	682
603	1039	681
604	1041	680
605	1043	678
606	1045	677
607	1047	675
608	1048	673
609	1050	671
610	1052	670
611	1054	668
612	1056	666
613	1057	664
614	1058	662
615	1060	661
616	1062	659
617	1063	657
618	1064	655
619	1066	653
620	1068	652
621	1069	650
622	1071	648
623	1072	646
624	1074	644
625	1075	642
626	1077	640
627	1078	638
628	1080	637
629	1081	635
630	1083	633
631	1085	631
632	1086	630
633	1088	628
634	1089	626
635	1091	624
636	1092	622
637	1093	620
638	1094	618
639	1096	616
640	1098	615
641	1100	613
642	1101	611
643	1103	610
644	1105	608
645	1107	606
646	1108	604
647	1110	603
648	1111	601
649	1113	599
650	1115	598
651	1117	596
652	1118	594
653	1120	592
654	1121	590
655	1123	589
656	1124	587
657	1126	585
658	1128	583
659	1130	582
660	1133	581
661	1134	579
662	1136	577
663	1138	575
664	1139	573
665	1140	571
666	1142	570
667	1144	568
668	1145	566
669	1146	564
670	1147	562
671	1148	560
672	1150	558
673	1151	556
674	1152	554
675	1153	553
676	1155	551
677	1156	549
678	1158	547
679	1159	545
680	1161	543
681	1162	541
682	1163	540
683	1164	538
684	1165	536
685	1167	534
686	1168	532
687	1169	530
688	1170	528
689	1171	526
690	1173	524
691	1175	523
692	1176	521
693	1177	519
694	1178	517
695	1180	515
696	1181	513
697	1182	511
698	1183	509
699	1184	507
700	1185	505
701	1187	504
702	1189	502
703	1191	500
704	1192	499
705	1193	497
706	1195	495
707	1196	493
708	1197	491
709	1198	489
710	1199	487
711	1200	485
712	1202	483
713	1204	482
714	1205	480
715	1207	478
716	1208	476
717	1209	475
718	1210	473
719	1212	471
720	1213	469
721	1214	467
722	1215	465
723	1217	464
724	1218	462
725	1220	460
726	1222	458
727	1223	457
728	1224	455
729	1225	453
730	1226	451
731	1228	449
